"","Country_Region","confirmed","deaths","recovered","date"
"1651","Vietnam",16,0,16,2020-03-06
"1652","Afghanistan",1,0,0,2020-03-07
"1653","Algeria",17,0,0,2020-03-07
"1654","Andorra",1,0,0,2020-03-07
"1655","Argentina",8,0,0,2020-03-07
"1656","Armenia",1,0,0,2020-03-07
"1657","Australia",63,2,21,2020-03-07
"1658","Austria",79,0,0,2020-03-07
"1659","Azerbaijan",9,0,0,2020-03-07
"1660","Bahrain",85,0,4,2020-03-07
"1661","Belarus",6,0,0,2020-03-07
"1662","Belgium",169,0,1,2020-03-07
"1663","Bhutan",1,0,0,2020-03-07
"1664","Bosnia and Herzegovina",3,0,0,2020-03-07
"1665","Brazil",13,0,0,2020-03-07
"1666","Cambodia",1,0,1,2020-03-07
"1667","Cameroon",1,0,0,2020-03-07
"1668","Canada",54,0,8,2020-03-07
"1669","Chile",4,0,0,2020-03-07
"1670","Colombia",1,0,0,2020-03-07
"1671","Costa Rica",1,0,0,2020-03-07
"1672","Croatia",12,0,0,2020-03-07
"1673","Czech Republic",19,0,0,2020-03-07
"1674","Denmark",23,0,1,2020-03-07
"1675","Dominican Republic",2,0,0,2020-03-07
"1676","Ecuador",13,0,0,2020-03-07
"1677","Egypt",15,0,1,2020-03-07
"1678","Estonia",10,0,0,2020-03-07
"1679","Faroe Islands",1,0,0,2020-03-07
"1680","Finland",15,0,1,2020-03-07
"1681","France",949,11,12,2020-03-07
"1682","French Guiana",5,0,0,2020-03-07
"1683","Georgia",4,0,0,2020-03-07
"1684","Germany",799,0,18,2020-03-07
"1685","Gibraltar",1,0,0,2020-03-07
"1686","Greece",46,0,0,2020-03-07
"1687","Hong Kong",108,2,51,2020-03-07
"1688","Hungary",4,0,0,2020-03-07
"1689","Iceland",50,0,0,2020-03-07
"1690","India",34,0,3,2020-03-07
"1691","Indonesia",4,0,0,2020-03-07
"1692","Iran",5823,145,1669,2020-03-07
"1693","Iraq",54,4,0,2020-03-07
"1694","Ireland",18,0,0,2020-03-07
"1695","Israel",21,0,2,2020-03-07
"1696","Italy",5883,233,589,2020-03-07
"1697","Japan",461,6,76,2020-03-07
"1698","Jordan",1,0,0,2020-03-07
"1699","Kuwait",61,0,0,2020-03-07
"1700","Latvia",1,0,0,2020-03-07
"1701","Lebanon",22,0,1,2020-03-07
"1702","Liechtenstein",1,0,0,2020-03-07
"1703","Lithuania",1,0,0,2020-03-07
"1704","Luxembourg",2,0,0,2020-03-07
"1705","Macau",10,0,10,2020-03-07
"1706","Mainland China",80652,3070,55478,2020-03-07
"1707","Malaysia",93,0,23,2020-03-07
"1708","Malta",3,0,0,2020-03-07
"1709","Martinique",2,0,0,2020-03-07
"1710","Mexico",6,0,1,2020-03-07
"1711","Monaco",1,0,0,2020-03-07
"1712","Morocco",2,0,0,2020-03-07
"1713","Nepal",1,0,1,2020-03-07
"1714","Netherlands",188,1,0,2020-03-07
"1715","New Zealand",5,0,0,2020-03-07
"1716","Nigeria",1,0,0,2020-03-07
"1717","North Macedonia",3,0,0,2020-03-07
"1718","Norway",147,0,0,2020-03-07
"1719","Oman",16,0,2,2020-03-07
"1720","Others",696,6,40,2020-03-07
"1721","Pakistan",6,0,0,2020-03-07
"1722","Palestine",22,0,0,2020-03-07
"1723","Peru",1,0,0,2020-03-07
"1724","Philippines",6,1,1,2020-03-07
"1725","Poland",5,0,0,2020-03-07
"1726","Portugal",20,0,0,2020-03-07
"1727","Qatar",8,0,0,2020-03-07
"1728","Romania",9,0,3,2020-03-07
"1729","Russia",13,0,2,2020-03-07
"1730","Saint Barthelemy",3,0,0,2020-03-07
"1731","San Marino",23,1,0,2020-03-07
"1732","Saudi Arabia",5,0,0,2020-03-07
"1733","Senegal",4,0,0,2020-03-07
"1734","Serbia",1,0,0,2020-03-07
"1735","Singapore",138,0,78,2020-03-07
"1736","Slovakia",1,0,0,2020-03-07
"1737","Slovenia",7,0,0,2020-03-07
"1738","South Africa",1,0,0,2020-03-07
"1739","South Korea",7041,44,135,2020-03-07
"1740","Spain",500,10,30,2020-03-07
"1741","Sri Lanka",1,0,1,2020-03-07
"1742","Sweden",161,0,0,2020-03-07
"1743","Switzerland",268,1,3,2020-03-07
"1744","Taiwan",45,1,12,2020-03-07
"1745","Thailand",50,1,31,2020-03-07
"1746","Togo",1,0,0,2020-03-07
"1747","Tunisia",1,0,0,2020-03-07
"1748","UK",206,2,18,2020-03-07
"1749","Ukraine",1,0,0,2020-03-07
"1750","United Arab Emirates",45,0,7,2020-03-07
"1751","US",417,17,8,2020-03-07
"1752","Vatican City",1,0,0,2020-03-07
"1753","Vietnam",18,0,16,2020-03-07
"1754","Afghanistan",4,0,0,2020-03-08
"1755","Algeria",19,0,0,2020-03-08
"1756","Andorra",1,0,0,2020-03-08
"1757","Argentina",12,1,0,2020-03-08
"1758","Armenia",1,0,0,2020-03-08
"1759","Australia",76,4,21,2020-03-08
"1760","Austria",104,0,0,2020-03-08
"1761","Azerbaijan",9,0,0,2020-03-08
"1762","Bahrain",85,0,4,2020-03-08
"1763","Bangladesh",3,0,0,2020-03-08
"1764","Belarus",6,0,0,2020-03-08
"1765","Belgium",200,0,1,2020-03-08
"1766","Bhutan",1,0,0,2020-03-08
"1767","Bosnia and Herzegovina",3,0,0,2020-03-08
"1768","Brazil",20,0,0,2020-03-08
"1769","Bulgaria",4,0,0,2020-03-08
"1770","Cambodia",2,0,1,2020-03-08
"1771","Cameroon",2,0,0,2020-03-08
"1772","Canada",64,0,8,2020-03-08
"1773","Chile",8,0,0,2020-03-08
"1774","Colombia",1,0,0,2020-03-08
"1775","Costa Rica",5,0,0,2020-03-08
"1776","Croatia",12,0,0,2020-03-08
"1777","Czech Republic",31,0,0,2020-03-08
"1778","Denmark",35,0,1,2020-03-08
"1779","Dominican Republic",5,0,0,2020-03-08
"1780","Ecuador",14,0,0,2020-03-08
"1781","Egypt",49,1,1,2020-03-08
"1782","Estonia",10,0,0,2020-03-08
"1783","Faroe Islands",2,0,0,2020-03-08
"1784","Finland",23,0,1,2020-03-08
"1785","France",1126,19,12,2020-03-08
"1786","French Guiana",5,0,0,2020-03-08
"1787","Georgia",13,0,0,2020-03-08
"1788","Germany",1040,0,18,2020-03-08
"1789","Gibraltar",1,0,0,2020-03-08
"1790","Greece",73,0,0,2020-03-08
"1791","Hong Kong",114,3,58,2020-03-08
"1792","Hungary",7,0,0,2020-03-08
"1793","Iceland",50,0,0,2020-03-08
"1794","India",39,0,3,2020-03-08
"1795","Indonesia",6,0,0,2020-03-08
"1796","Iran",6566,194,2134,2020-03-08
"1797","Iraq",60,6,0,2020-03-08
"1798","Ireland",19,0,0,2020-03-08
"1799","Israel",39,0,2,2020-03-08
"1800","Italy",7375,366,622,2020-03-08
"1801","Japan",502,6,76,2020-03-08
"1802","Jordan",1,0,0,2020-03-08
"1803","Kuwait",64,0,1,2020-03-08
"1804","Latvia",2,0,0,2020-03-08
"1805","Lebanon",32,0,1,2020-03-08
"1806","Liechtenstein",1,0,0,2020-03-08
"1807","Lithuania",1,0,0,2020-03-08
"1808","Luxembourg",3,0,0,2020-03-08
"1809","Macau",10,0,10,2020-03-08
"1810","Mainland China",80699,3097,57320,2020-03-08
"1811","Malaysia",99,0,24,2020-03-08
"1812","Maldives",4,0,0,2020-03-08
"1813","Malta",3,0,0,2020-03-08
"1814","Martinique",2,0,0,2020-03-08
"1815","Mexico",7,0,1,2020-03-08
"1816","Moldova",1,0,0,2020-03-08
"1817","Monaco",1,0,0,2020-03-08
"1818","Morocco",2,0,0,2020-03-08
"1819","Nepal",1,0,1,2020-03-08
"1820","Netherlands",265,3,0,2020-03-08
"1821","New Zealand",5,0,0,2020-03-08
"1822","Nigeria",1,0,0,2020-03-08
"1823","North Macedonia",3,0,0,2020-03-08
"1824","Norway",176,0,0,2020-03-08
"1825","Oman",16,0,2,2020-03-08
"1826","Others",696,6,40,2020-03-08
"1827","Pakistan",6,0,1,2020-03-08
"1828","Palestine",22,0,0,2020-03-08
"1829","Paraguay",1,0,0,2020-03-08
"1830","Peru",6,0,0,2020-03-08
"1831","Philippines",10,1,1,2020-03-08
"1832","Poland",11,0,0,2020-03-08
"1833","Portugal",30,0,0,2020-03-08
"1834","Qatar",15,0,0,2020-03-08
"1835","Republic of Ireland",21,0,0,2020-03-08
"1836","Romania",15,0,3,2020-03-08
"1837","Russia",17,0,3,2020-03-08
"1838","Saint Barthelemy",3,0,0,2020-03-08
"1839","San Marino",36,1,0,2020-03-08
"1840","Saudi Arabia",11,0,0,2020-03-08
"1841","Senegal",4,0,1,2020-03-08
"1842","Serbia",1,0,0,2020-03-08
"1843","Singapore",150,0,78,2020-03-08
"1844","Slovakia",3,0,0,2020-03-08
"1845","Slovenia",16,0,0,2020-03-08
"1846","South Africa",3,0,0,2020-03-08
"1847","South Korea",7314,50,118,2020-03-08
"1848","Spain",673,17,30,2020-03-08
"1849","Sri Lanka",1,0,1,2020-03-08
"1850","Sweden",203,0,0,2020-03-08
"1851","Switzerland",337,2,3,2020-03-08
"1852","Taiwan",45,1,13,2020-03-08
"1853","Thailand",50,1,31,2020-03-08
"1854","Togo",1,0,0,2020-03-08
"1855","Tunisia",2,0,0,2020-03-08
"1856","UK",273,3,18,2020-03-08
"1857","Ukraine",1,0,0,2020-03-08
"1858","United Arab Emirates",45,0,7,2020-03-08
"1859","US",537,21,8,2020-03-08
"1860","Vatican City",1,0,0,2020-03-08
"1861","Vietnam",30,0,16,2020-03-08
"1862","Afghanistan",4,0,0,2020-03-09
"1863","Albania",2,0,0,2020-03-09
"1864","Algeria",20,0,0,2020-03-09
"1865","Andorra",1,0,0,2020-03-09
"1866","Argentina",12,1,0,2020-03-09
"1867","Armenia",1,0,0,2020-03-09
"1868","Australia",91,4,21,2020-03-09
"1869","Austria",131,0,2,2020-03-09
"1870","Azerbaijan",9,0,0,2020-03-09
"1871","Bahrain",95,0,14,2020-03-09
"1872","Bangladesh",3,0,0,2020-03-09
"1873","Belarus",6,0,1,2020-03-09
"1874","Belgium",239,0,1,2020-03-09
"1875","Bhutan",1,0,0,2020-03-09
"1876","Bosnia and Herzegovina",3,0,0,2020-03-09
"1877","Brazil",25,0,0,2020-03-09
"1878","Brunei",1,0,0,2020-03-09
"1879","Bulgaria",4,0,0,2020-03-09
"1880","Cambodia",2,0,1,2020-03-09
"1881","Cameroon",2,0,0,2020-03-09
"1882","Canada",76,1,8,2020-03-09
"1883","Chile",8,0,0,2020-03-09
"1884","Colombia",1,0,0,2020-03-09
"1885","Costa Rica",9,0,0,2020-03-09
"1886","Croatia",12,0,0,2020-03-09
"1887","Cyprus",2,0,0,2020-03-09
"1888","Czech Republic",31,0,0,2020-03-09
"1889","Denmark",90,0,1,2020-03-09
"1890","Dominican Republic",5,0,0,2020-03-09
"1891","Ecuador",15,0,0,2020-03-09
"1892","Egypt",55,1,12,2020-03-09
"1893","Estonia",10,0,0,2020-03-09
"1894","Faroe Islands",2,0,0,2020-03-09
"1895","Finland",30,0,1,2020-03-09
"1896","France",1209,19,12,2020-03-09
"1897","French Guiana",5,0,0,2020-03-09
"1898","Georgia",15,0,0,2020-03-09
"1899","Germany",1176,2,18,2020-03-09
"1900","Gibraltar",1,0,0,2020-03-09
"1901","Greece",73,0,0,2020-03-09
"1902","Hong Kong",115,3,59,2020-03-09
"1903","Hungary",9,0,0,2020-03-09
"1904","Iceland",58,0,0,2020-03-09
"1905","India",43,0,3,2020-03-09
"1906","Indonesia",19,0,0,2020-03-09
"1907","Iran",7161,237,2394,2020-03-09
"1908","Iraq",60,6,9,2020-03-09
"1909","Ireland",21,0,0,2020-03-09
"1910","Israel",39,0,2,2020-03-09
"1911","Italy",9172,463,724,2020-03-09
"1912","Japan",511,17,76,2020-03-09
"1913","Jordan",1,0,0,2020-03-09
"1914","Kuwait",64,0,1,2020-03-09
"1915","Latvia",6,0,0,2020-03-09
"1916","Lebanon",32,0,1,2020-03-09
"1917","Liechtenstein",1,0,0,2020-03-09
"1918","Lithuania",1,0,0,2020-03-09
"1919","Luxembourg",3,0,0,2020-03-09
"1920","Macau",10,0,10,2020-03-09
"1921","Mainland China",80735,3120,58735,2020-03-09
"1922","Malaysia",117,0,24,2020-03-09
"1923","Maldives",4,0,0,2020-03-09
"1924","Malta",3,0,0,2020-03-09
"1925","Martinique",2,0,0,2020-03-09
"1926","Mexico",7,0,1,2020-03-09
"1927","Moldova",1,0,0,2020-03-09
"1928","Monaco",1,0,0,2020-03-09
"1929","Morocco",2,0,0,2020-03-09
"1930","Nepal",1,0,1,2020-03-09
"1931","Netherlands",321,3,0,2020-03-09
"1932","New Zealand",5,0,0,2020-03-09
"1933","Nigeria",2,0,0,2020-03-09
"1934","North Macedonia",3,0,0,2020-03-09
"1935","Norway",205,0,1,2020-03-09
"1936","Oman",16,0,2,2020-03-09
"1937","Others",696,6,40,2020-03-09
"1938","Pakistan",6,0,1,2020-03-09
"1939","Palestine",22,0,0,2020-03-09
"1940","Paraguay",1,0,0,2020-03-09
"1941","Peru",7,0,0,2020-03-09
"1942","Philippines",20,1,1,2020-03-09
"1943","Poland",16,0,0,2020-03-09
"1944","Portugal",30,0,0,2020-03-09
"1945","Qatar",18,0,0,2020-03-09
"1946","Romania",15,0,3,2020-03-09
"1947","Russia",17,0,3,2020-03-09
"1948","Saint Barthelemy",1,0,0,2020-03-09
"1949","San Marino",36,1,0,2020-03-09
"1950","Saudi Arabia",15,0,0,2020-03-09
"1951","Senegal",4,0,1,2020-03-09
"1952","Serbia",1,0,0,2020-03-09
"1953","Singapore",150,0,78,2020-03-09
"1954","Slovakia",3,0,0,2020-03-09
"1955","Slovenia",16,0,0,2020-03-09
"1956","South Africa",3,0,0,2020-03-09
"1957","South Korea",7478,53,118,2020-03-09
"1958","Spain",1073,28,32,2020-03-09
"1959","Sri Lanka",1,0,1,2020-03-09
"1960","St. Martin",2,0,0,2020-03-09
"1961","Sweden",248,0,1,2020-03-09
"1962","Switzerland",374,2,3,2020-03-09
"1963","Taiwan",45,1,15,2020-03-09
"1964","Thailand",50,1,31,2020-03-09
"1965","Togo",1,0,0,2020-03-09
"1966","Tunisia",2,0,0,2020-03-09
"1967","UK",321,4,18,2020-03-09
"1968","Ukraine",1,0,0,2020-03-09
"1969","United Arab Emirates",45,0,7,2020-03-09
"1970","US",605,22,8,2020-03-09
"1971","Vatican City",1,0,0,2020-03-09
"1972","Vietnam",30,0,16,2020-03-09
"1973","Afghanistan",5,0,0,2020-03-10
"1974","Albania",10,0,0,2020-03-10
"1975","Algeria",20,0,0,2020-03-10
"1976","Andorra",1,0,0,2020-03-10
"1977","Argentina",17,1,0,2020-03-10
"1978","Armenia",1,0,0,2020-03-10
"1979","Australia",107,3,21,2020-03-10
"1980","Austria",182,0,4,2020-03-10
"1981","Azerbaijan",11,0,0,2020-03-10
"1982","Bahrain",110,0,22,2020-03-10
"1983","Bangladesh",3,0,0,2020-03-10
"1984","Belarus",9,0,3,2020-03-10
"1985","Belgium",267,0,1,2020-03-10
"1986","Bhutan",1,0,0,2020-03-10
"1987","Bosnia and Herzegovina",5,0,0,2020-03-10
"1988","Brazil",31,0,0,2020-03-10
"1989","Brunei",1,0,0,2020-03-10
"1990","Bulgaria",4,0,0,2020-03-10
"1991","Burkina Faso",1,0,0,2020-03-10
"1992","Cambodia",2,0,1,2020-03-10
"1993","Cameroon",2,0,0,2020-03-10
"1994","Canada",79,1,8,2020-03-10
"1995","Channel Islands",1,0,0,2020-03-10
"1996","Chile",13,0,0,2020-03-10
"1997","Colombia",3,0,0,2020-03-10
"1998","Costa Rica",9,0,0,2020-03-10
"1999","Croatia",14,0,0,2020-03-10
"2000","Cyprus",3,0,0,2020-03-10
"2001","Czech Republic",41,0,0,2020-03-10
"2002","Denmark",262,0,1,2020-03-10
"2003","Dominican Republic",5,0,0,2020-03-10
"2004","Ecuador",15,0,0,2020-03-10
"2005","Egypt",59,1,1,2020-03-10
"2006","Estonia",12,0,0,2020-03-10
"2007","Faroe Islands",2,0,0,2020-03-10
"2008","Finland",40,0,1,2020-03-10
"2009","France",1784,33,12,2020-03-10
"2010","French Guiana",5,0,0,2020-03-10
"2011","Georgia",15,0,0,2020-03-10
"2012","Germany",1457,2,18,2020-03-10
"2013","Gibraltar",1,0,1,2020-03-10
"2014","Greece",89,0,0,2020-03-10
"2015","Holy See",1,0,0,2020-03-10
"2016","Hong Kong SAR",120,3,65,2020-03-10
"2017","Hungary",9,0,0,2020-03-10
"2018","Iceland",69,0,1,2020-03-10
"2019","India",56,0,4,2020-03-10
"2020","Indonesia",27,0,2,2020-03-10
"2021","Iran (Islamic Republic of)",8042,291,2731,2020-03-10
"2022","Iraq",71,7,3,2020-03-10
"2023","Ireland",34,0,0,2020-03-10
"2024","Israel",58,0,4,2020-03-10
"2025","Italy",10149,631,724,2020-03-10
"2026","Japan",581,10,101,2020-03-10
"2027","Jordan",1,0,0,2020-03-10
"2028","Kuwait",69,0,1,2020-03-10
"2029","Latvia",8,0,1,2020-03-10
"2030","Lebanon",41,1,1,2020-03-10
"2031","Liechtenstein",1,0,0,2020-03-10
"2032","Lithuania",1,0,0,2020-03-10
"2033","Luxembourg",5,0,0,2020-03-10
"2034","Macao SAR",10,0,10,2020-03-10
"2035","Mainland China",80757,3136,60106,2020-03-10
"2036","Malaysia",129,0,24,2020-03-10
"2037","Maldives",6,0,0,2020-03-10
"2038","Malta",5,0,0,2020-03-10
"2039","Martinique",2,0,0,2020-03-10
"2040","Mexico",7,0,4,2020-03-10
"2041","Monaco",1,0,0,2020-03-10
"2042","Mongolia",1,0,0,2020-03-10
"2043","Morocco",3,1,0,2020-03-10
"2044","Nepal",1,0,1,2020-03-10
"2045","Netherlands",382,4,0,2020-03-10
"2046","New Zealand",5,0,0,2020-03-10
"2047","Nigeria",2,0,0,2020-03-10
"2048","North Macedonia",7,0,0,2020-03-10
"2049","Norway",400,0,1,2020-03-10
"2050","occupied Palestinian territory",25,0,0,2020-03-10
"2051","Oman",18,0,9,2020-03-10
"2052","Others",696,6,40,2020-03-10
"2053","Pakistan",16,0,1,2020-03-10
"2054","Panama",1,0,0,2020-03-10
"2055","Paraguay",1,0,0,2020-03-10
"2056","Peru",11,0,0,2020-03-10
"2057","Philippines",33,1,2,2020-03-10
"2058","Poland",22,0,0,2020-03-10
"2059","Portugal",41,0,0,2020-03-10
"2060","Qatar",24,0,0,2020-03-10
"2061","Republic of Korea",7513,54,247,2020-03-10
"2062","Republic of Moldova",3,0,0,2020-03-10
"2063","Romania",25,0,3,2020-03-10
"2064","Russian Federation",10,0,3,2020-03-10
"2065","Saint Barthelemy",1,0,0,2020-03-10
"2066","Saint Martin",2,0,0,2020-03-10
"2067","San Marino",51,2,0,2020-03-10
"2068","Saudi Arabia",20,0,1,2020-03-10
"2069","Senegal",4,0,1,2020-03-10
"2070","Serbia",5,0,0,2020-03-10
"2071","Singapore",160,0,78,2020-03-10
"2072","Slovakia",7,0,0,2020-03-10
"2073","Slovenia",31,0,0,2020-03-10
"2074","South Africa",7,0,0,2020-03-10
"2075","Spain",1695,35,32,2020-03-10
"2076","Sri Lanka",1,0,1,2020-03-10
"2077","Sweden",355,0,1,2020-03-10
"2078","Switzerland",491,3,3,2020-03-10
"2079","Taipei and environs",47,1,17,2020-03-10
"2080","Thailand",53,1,33,2020-03-10
"2081","Togo",1,0,0,2020-03-10
"2082","Tunisia",5,0,0,2020-03-10
"2083","UK",382,6,18,2020-03-10
"2084","Ukraine",1,0,0,2020-03-10
"2085","United Arab Emirates",74,0,12,2020-03-10
"2086","US",959,28,8,2020-03-10
"2087","Viet Nam",31,0,16,2020-03-10
"2088","Afghanistan",7,0,0,2020-03-11
"2089","Albania",12,1,0,2020-03-11
"2090","Algeria",20,0,0,2020-03-11
"2091","Andorra",1,0,0,2020-03-11
"2092","Argentina",19,1,0,2020-03-11
"2093","Armenia",1,0,0,2020-03-11
"2094","Australia",128,3,21,2020-03-11
"2095","Austria",246,0,4,2020-03-11
"2096","Azerbaijan",11,0,3,2020-03-11
"2097","Bahrain",195,0,35,2020-03-11
"2098","Bangladesh",3,0,0,2020-03-11
"2099","Belarus",9,0,3,2020-03-11
"2100","Belgium",314,3,1,2020-03-11
"2101","Bhutan",1,0,0,2020-03-11
"2102","Bolivia",2,0,0,2020-03-11
"2103","Bosnia and Herzegovina",7,0,0,2020-03-11
"2104","Brazil",38,0,0,2020-03-11
"2105","Brunei",11,0,0,2020-03-11
"2106","Bulgaria",7,1,0,2020-03-11
"2107","Burkina Faso",2,0,0,2020-03-11
"2108","Cambodia",3,0,1,2020-03-11
"2109","Cameroon",2,0,0,2020-03-11
"2110","Canada",108,1,8,2020-03-11
"2111","Chile",23,0,0,2020-03-11
"2112","China",80921,3161,61644,2020-03-11
"2113","Colombia",9,0,0,2020-03-11
"2114","Congo (Kinshasa)",1,0,0,2020-03-11
"2115","Costa Rica",13,0,0,2020-03-11
"2116","Cote d'Ivoire",1,0,0,2020-03-11
"2117","Croatia",19,0,0,2020-03-11
"2118","Cruise Ship",696,7,325,2020-03-11
"2119","Cyprus",6,0,0,2020-03-11
"2120","Czechia",91,0,0,2020-03-11
"2121","Denmark",444,0,1,2020-03-11
"2122","Dominican Republic",5,0,0,2020-03-11
"2123","Ecuador",17,0,0,2020-03-11
"2124","Egypt",60,1,27,2020-03-11
"2125","Estonia",16,0,0,2020-03-11
"2126","Finland",59,0,1,2020-03-11
"2127","France",2284,48,12,2020-03-11
"2128","French Guiana",5,0,0,2020-03-11
"2129","Georgia",24,0,0,2020-03-11
"2130","Germany",1908,3,25,2020-03-11
"2131","Greece",99,1,0,2020-03-11
"2132","Holy See",1,0,0,2020-03-11
"2133","Honduras",2,0,0,2020-03-11
"2134","Hungary",13,0,0,2020-03-11
"2135","Iceland",85,0,1,2020-03-11
"2136","India",62,1,4,2020-03-11
"2137","Indonesia",34,1,2,2020-03-11
"2138","Iran",9000,354,2959,2020-03-11
"2139","Iraq",71,7,15,2020-03-11
"2140","Ireland",43,1,0,2020-03-11
"2141","Israel",109,0,4,2020-03-11
"2142","Italy",12462,827,1045,2020-03-11
"2143","Jamaica",1,0,0,2020-03-11
"2144","Japan",639,15,118,2020-03-11
"2145","Jordan",1,0,0,2020-03-11
"2146","Korea, South",7755,60,288,2020-03-11
"2147","Kuwait",72,0,2,2020-03-11
"2148","Latvia",10,0,1,2020-03-11
"2149","Lebanon",61,3,1,2020-03-11
"2150","Liechtenstein",1,0,0,2020-03-11
"2151","Lithuania",3,0,0,2020-03-11
"2152","Luxembourg",7,0,0,2020-03-11
"2153","Mainland China",0,0,0,2020-03-11
"2154","Malaysia",149,0,26,2020-03-11
"2155","Maldives",8,0,0,2020-03-11
"2156","Malta",6,0,0,2020-03-11
"2157","Martinique",3,0,0,2020-03-11
"2158","Mexico",8,0,4,2020-03-11
"2159","Moldova",3,0,0,2020-03-11
"2160","Monaco",1,0,0,2020-03-11
"2161","Mongolia",1,0,0,2020-03-11
"2162","Morocco",5,1,0,2020-03-11
"2163","Nepal",1,0,1,2020-03-11
"2164","Netherlands",503,5,0,2020-03-11
"2165","New Zealand",5,0,0,2020-03-11
"2166","Nigeria",2,0,0,2020-03-11
"2167","North Macedonia",7,0,0,2020-03-11
"2168","Norway",598,0,1,2020-03-11
"2169","occupied Palestinian territory",0,0,0,2020-03-11
"2170","Oman",18,0,9,2020-03-11
"2171","Pakistan",19,0,2,2020-03-11
"2172","Panama",8,1,0,2020-03-11
"2173","Paraguay",5,0,0,2020-03-11
"2174","Peru",11,0,0,2020-03-11
"2175","Philippines",49,1,2,2020-03-11
"2176","Poland",31,0,0,2020-03-11
"2177","Portugal",59,0,0,2020-03-11
"2178","Qatar",262,0,0,2020-03-11
"2179","Reunion",1,0,0,2020-03-11
"2180","Romania",45,0,6,2020-03-11
"2181","Russia",20,0,3,2020-03-11
"2182","San Marino",62,2,0,2020-03-11
"2183","Saudi Arabia",21,0,1,2020-03-11
"2184","Senegal",4,0,1,2020-03-11
"2185","Serbia",12,0,0,2020-03-11
"2186","Singapore",178,0,96,2020-03-11
"2187","Slovakia",10,0,0,2020-03-11
"2188","Slovenia",57,0,0,2020-03-11
"2189","South Africa",13,0,0,2020-03-11
"2190","Spain",2277,54,183,2020-03-11
"2191","Sri Lanka",2,0,1,2020-03-11
"2192","Sweden",500,1,1,2020-03-11
"2193","Switzerland",652,4,4,2020-03-11
"2194","Taiwan*",48,1,17,2020-03-11
"2195","Thailand",59,1,34,2020-03-11
"2196","Togo",1,0,0,2020-03-11
"2197","Tunisia",7,0,0,2020-03-11
"2198","Turkey",1,0,0,2020-03-11
"2199","Ukraine",1,0,0,2020-03-11
"2200","United Arab Emirates",74,0,17,2020-03-11
"2201","United Kingdom",459,8,19,2020-03-11
"2202","US",1281,36,8,2020-03-11
"2203","Vietnam",38,0,16,2020-03-11
"2204","Afghanistan",7,0,0,2020-03-12
"2205","Albania",23,1,0,2020-03-12
"2206","Algeria",24,1,8,2020-03-12
"2207","Andorra",1,0,1,2020-03-12
"2208","Argentina",19,1,0,2020-03-12
"2209","Armenia",4,0,0,2020-03-12
"2210","Australia",128,3,21,2020-03-12
"2211","Austria",302,1,4,2020-03-12
"2212","Azerbaijan",11,0,3,2020-03-12
"2213","Bahrain",195,0,35,2020-03-12
"2214","Bangladesh",3,0,0,2020-03-12
"2215","Belarus",12,0,3,2020-03-12
"2216","Belgium",314,3,1,2020-03-12
"2217","Bhutan",1,0,0,2020-03-12
"2218","Bolivia",2,0,0,2020-03-12
"2219","Bosnia and Herzegovina",11,0,0,2020-03-12
"2220","Brazil",52,0,0,2020-03-12
"2221","Brunei",11,0,0,2020-03-12
"2222","Bulgaria",7,1,0,2020-03-12
"2223","Burkina Faso",2,0,0,2020-03-12
"2224","Cambodia",3,0,1,2020-03-12
"2225","Cameroon",2,0,0,2020-03-12
"2226","Canada",117,1,8,2020-03-12
"2227","Chile",23,0,0,2020-03-12
"2228","China",80932,3172,62901,2020-03-12
"2229","Colombia",9,0,0,2020-03-12
"2230","Congo (Kinshasa)",1,0,0,2020-03-12
"2231","Costa Rica",22,0,0,2020-03-12
"2232","Cote d'Ivoire",1,0,0,2020-03-12
"2233","Croatia",19,0,0,2020-03-12
"2234","Cruise Ship",696,7,325,2020-03-12
"2235","Cuba",3,0,0,2020-03-12
"2236","Cyprus",6,0,0,2020-03-12
"2237","Czechia",94,0,0,2020-03-12
"2238","Denmark",617,0,1,2020-03-12
"2239","Dominican Republic",5,0,0,2020-03-12
"2240","Ecuador",17,0,0,2020-03-12
"2241","Egypt",67,1,27,2020-03-12
"2242","Estonia",16,0,0,2020-03-12
"2243","Finland",59,0,1,2020-03-12
"2244","France",2284,48,12,2020-03-12
"2245","French Guiana",5,0,0,2020-03-12
"2246","Georgia",24,0,0,2020-03-12
"2247","Germany",2078,3,25,2020-03-12
"2248","Greece",99,1,0,2020-03-12
"2249","Guyana",1,1,0,2020-03-12
"2250","Holy See",1,0,0,2020-03-12
"2251","Honduras",2,0,0,2020-03-12
"2252","Hungary",13,0,0,2020-03-12
"2253","Iceland",103,0,1,2020-03-12
"2254","India",73,1,4,2020-03-12
"2255","Indonesia",34,1,2,2020-03-12
"2256","Iran",10075,429,2959,2020-03-12
"2257","Iraq",71,8,15,2020-03-12
"2258","Ireland",43,1,0,2020-03-12
"2259","Israel",131,0,4,2020-03-12
"2260","Italy",12462,827,1045,2020-03-12
"2261","Jamaica",2,0,0,2020-03-12
"2262","Japan",639,16,118,2020-03-12
"2263","Jordan",1,0,0,2020-03-12
"2264","Korea, South",7869,66,333,2020-03-12
"2265","Kuwait",80,0,5,2020-03-12
"2266","Latvia",10,0,1,2020-03-12
"2267","Lebanon",61,3,1,2020-03-12
"2268","Liechtenstein",1,0,0,2020-03-12
